CompanyNo,Gender,Age,Educationcoded,children,sectorcode,popperlesshS,population,popbelowpovlevel,percentmenbusiness,percentfemalebusiness,implicitatt,exp1career,exp2fam,Slopeafterhire,fullslope
5,1,58,4,2,5,10.7,5779463,13.1,54.1,45.9,0.344998987,4.355875831,3.409393491,-0.007050812,-0.007050812
10,1,64,4,,10,6.6,134473,16.9,51.7,48.3,0.434410907,4.425925926,3.574074074,-0.001232272,-0.001232272
30,1,44,3,2,22,10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343,0.00815147,0.004357791
33,1,63,4,,25,10,552043,14,57.2,42.8,0.373451372,4.462068966,3.420689655,-0.000537971,-0.000537971
36,1,66,4,2,28,11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.006914407,0.00833251
39,1,48,1,2,9,11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.006510018,0.007381403
43,1,55,3,,31,7.3,2168825,12.7,54.9,45.1,0.346187125,4.320579111,3.385692068,0.000122583,0.000122583
52,1,52,5,2,35,7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724,0.004147531,0.004147531
60,1,55,3,2,40,9.1,4317179,15.1,55,45,0.353504588,4.285151856,3.449887387,0.001620511,0.001620511
64,1,63,4,2,43,9.6,6138382,8,52.1,47.9,0.342364141,4.349400267,3.430854606,-0.002998144,-0.002998144
65,1,48,4,2,44,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,-0.001760164,0.00967623
66,1,49,1,2,45,11.4,6070944,15.4,56.7,43.3,0.369366075,4.301639344,3.340104849,0.008077341,0.008077341
71,1,58,3,4,3,9.2,3302833,12.5,55.9,44.1,0.342725296,4.301822323,3.383390216,-0.00894509,-0.00894509
80,1,57,,2,21,16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588,-0.002582306,-0.001027314
89,1,54,5,,55,11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.01058218,0.005965119
97,1,57,4,3,41,13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,0.006702137,0.00723969
104,1,52,4,3,62,10.8,1981616,8,54.5,45.5,0.315941432,4.380359613,3.434210526,-0.008719128,-0.008719128
